"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","has_clean","in_manhattan"
23103116,"New York Bedroom for rent in East Harlem",171629811,"Arthur","Manhattan","East Harlem",40.79661,-73.93832,"Private room",40,5,3,"2018-03-20",0.18,1,0,0,1
35732847,"A lovely room in a great house close to RUMC.",102263916,"John","Staten Island","Tompkinsville",40.63281,-74.09132,"Private room",50,1,4,"2019-07-07",4,2,84,0,0
19823445,"Beautiful and Modern Brooklyn Apartment",20063690,"Naheima","Brooklyn","Bedford-Stuyvesant",40.68695,-73.94858,"Entire home/apt",150,2,69,"2019-06-30",2.9,2,328,0,0
32788864,"Air conditioned Wonderful Private Room for 1 or 2",9773038,"Yuki","Brooklyn","Bedford-Stuyvesant",40.69485,-73.93866,"Private room",48,5,6,"2019-06-16",1.91,3,28,0,0
11574674,"Bright 2 bedroom aparment, Bushwick",61175876,"Raquel","Brooklyn","Bushwick",40.69531,-73.92248,"Entire home/apt",148,5,77,"2019-06-30",1.96,2,275,0,0
18568171,"Affordable, Cozy, Skylit Room in Renovated House",54548000,"Danny","Brooklyn","Bedford-Stuyvesant",40.67779,-73.9229,"Private room",70,1,54,"2019-04-30",2.15,2,197,0,0
231414,"TURQUOISE: One-Bedroom Apt. in Soho",1184442,"Roberto","Manhattan","SoHo",40.72599,-74.00168,"Private room",270,5,1,"2013-07-09",0.01,1,210,0,1
11495792,"Huge 1 bdrm apt; sublet March-Aug",60535622,"Adela","Brooklyn","Crown Heights",40.66391,-73.95179,"Entire home/apt",2100,120,0,"",NA,1,363,0,0
34285156,"Master Bed Decatur 3F Room#1",258248138,"Fanny","Brooklyn","Bushwick",40.68754,-73.90975,"Private room",70,1,5,"2019-06-27",2.54,2,179,0,0
600775,"Sml Rm in pr. Brst in Pk Sl great for Med/students",210746,"Kathleen R.","Brooklyn","Prospect Heights",40.68084,-73.97429,"Private room",100,2,73,"2019-06-27",0.89,3,257,0,0
29393371,"New york Multi-unit building",221434490,"Aracely","Queens","Jackson Heights",40.75586,-73.87014,"Private room",49,2,23,"2019-06-16",2.86,2,358,0,0
11654372,"Amazing Combo Bedroom/Living Space",6001746,"Kevin","Brooklyn","Bushwick",40.70478,-73.92767,"Private room",60,21,0,"",NA,1,0,0,0
21587838,"Full Service  Pool 1 bed Huge Terrace washer dryer",113805886,"Yaacov","Manhattan","Upper East Side",40.77768,-73.94998,"Entire home/apt",160,31,2,"2018-12-28",0.19,33,324,0,1
7979237,"New Guest Room at Brooklyn&Breakfast",344035,"Brooklyn&   Breakfast    -Len-","Brooklyn","Prospect Heights",40.6796,-73.96948,"Private room",60,1,197,"2019-07-01",4.19,13,324,0,0
8806783,"Large 1 BD Upper East With Roof Top",8115401,"Quili (Sounds Keelee)","Manhattan","Midtown",40.75606,-73.97004,"Entire home/apt",250,2,33,"2019-05-04",0.73,1,7,0,1
24976971,"1 bedroom apartment on Columbus Avenue",76104209,"Rated","Manhattan","Upper West Side",40.7936,-73.96642,"Entire home/apt",180,30,0,"",NA,33,364,0,1
2814931,"Large New York style loft ",14399467,"Caroline","Bronx","Port Morris",40.80554,-73.92606,"Entire home/apt",120,4,89,"2017-11-11",1.54,2,0,0,0
2074653,"Cozy East Village Bedroom",1468247,"Kris","Manhattan","East Village",40.73033,-73.98742,"Private room",100,5,2,"2016-10-22",0.06,1,0,0,1
18561200,"Clean and Comfortable Room at Central Park North",1260642,"Maria","Manhattan","Harlem",40.80094,-73.95219,"Private room",70,3,65,"2018-09-28",2.47,1,0,1,1
18735631,"Charming 1 Bedroom Apartment in Bushwick, Brooklyn",123355776,"Carol","Brooklyn","Bushwick",40.70336,-73.92657,"Entire home/apt",184,1,29,"2019-05-07",1.12,1,0,0,0
2182899,"Sunny & spacious NYC Apartment",377361,"Zed","Manhattan","East Village",40.72456,-73.98004,"Entire home/apt",160,3,25,"2017-05-23",0.4,1,0,0,1
6739145,"Ranch style house with driveway",25368839,"Florence","Staten Island","Dongan Hills",40.58115,-74.09182,"Entire home/apt",155,3,63,"2019-06-22",1.29,1,0,0,0
27211525,"Brooklyn Home convenient to everywhere",204915695,"Jian","Brooklyn","Sunset Park",40.63729,-74.01046,"Private room",50,3,25,"2019-07-05",2.26,2,108,0,0
4053987,"Small Private Room for 1 person",1960128,"Luana","Queens","Ozone Park",40.6844,-73.8472,"Private room",58,1,2,"2015-08-16",0.04,2,364,0,0
563496,"Studio Apartment Greenwich Village",2770985,"Aaron","Manhattan","Greenwich Village",40.73481,-73.99845,"Entire home/apt",145,5,1,"2012-09-05",0.01,1,0,0,1
8104879,"Here comes the sun!",1831760,"Vishnu","Brooklyn","Gowanus",40.68334,-73.9847,"Private room",64,7,1,"2015-10-03",0.02,1,0,0,0
30709893,"✨PRIVATE Bathroom - Midtown | 5 min Grand Central✨",173417532,"Ed","Manhattan","Midtown",40.75106,-73.97485,"Private room",172,1,18,"2019-07-05",4.74,3,85,0,1
7239575,"2 Bedroom, UES",37904263,"Talal","Manhattan","Upper East Side",40.76364,-73.9588,"Entire home/apt",120,5,5,"2016-07-20",0.13,1,0,0,1
21491135,"Diamond Peach",19708200,"Larry","Brooklyn","Canarsie",40.63895,-73.91606,"Entire home/apt",65,3,65,"2019-06-20",3.19,3,305,0,0
9953443,"Large 1 BR LES",3598016,"Beatriz","Manhattan","Lower East Side",40.71607,-73.98439,"Entire home/apt",135,2,0,"",NA,1,0,0,1
34156010,"Amazing Luxury Apt in the middle of Manhattan",257677041,"Elsen","Manhattan","Kips Bay",40.7421,-73.97404,"Entire home/apt",539,1,13,"2019-07-06",7.36,1,233,0,1
32750384,"Generous, Light-Filled Room in Brooklyn Townhouse",62803,"Eugenia","Brooklyn","Brownsville",40.66863,-73.92169,"Private room",44,9,4,"2019-06-01",1.29,2,12,0,0
23997663,"Amazing Artsy&Trendy Building w/Private Bathroom",2373120,"Elena","Brooklyn","Bushwick",40.69999,-73.92807,"Private room",75,5,9,"2019-06-15",0.6,2,336,0,0
30086862,"Light Massive Sanctuary",224637257,"Shep","Brooklyn","Flatbush",40.64544,-73.95731,"Private room",95,2,3,"2019-05-19",0.4,2,180,0,0
2669366,"Priv. Room in a House,15min,Manhatt",13664245,"Denise","Bronx","Claremont Village",40.84192,-73.91108,"Private room",40,3,46,"2019-05-31",0.72,2,292,0,0
19446302,"2-Bedroom Furnished Apartment In Brooklyn",136352388,"Franco","Brooklyn","Flatbush",40.63691,-73.95327,"Private room",45,3,0,"",NA,1,0,0,0
27731601,"Williamsburg Loft - Spacious, Sky-High Ceilings",4354856,"Jay","Brooklyn","Williamsburg",40.71095,-73.95171,"Private room",100,60,0,"",NA,2,157,0,0
10849750,"Brownstone Beauty 1 Bedroom",185847,"Faizal","Brooklyn","Fort Greene",40.68584,-73.97571,"Entire home/apt",135,2,1,"2016-08-15",0.03,1,0,0,0
652515,"COLUMBUS CIRCLE~FULLY FURNISHED!!!",1475015,"Mike","Manhattan","Hell's Kitchen",40.76758,-73.98722,"Entire home/apt",85,30,2,"2016-08-15",0.04,52,223,0,1
21564252,"Cozy Red BUSHWICK  Apt 25 min to city SLEEPS 6 !!",3532263,"Alejandro","Brooklyn","Bushwick",40.69809,-73.92244,"Entire home/apt",159,2,51,"2019-06-19",2.49,4,357,0,0
30193397,"*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #3",205031545,"Red Awning","Manhattan","Midtown",40.75428,-73.96566,"Entire home/apt",675,28,1,"2018-12-29",0.16,49,225,0,1
34081178,"Central Park-Time Square-All Major Subways",2161203,"Bassema","Manhattan","Hell's Kitchen",40.76601,-73.98414,"Entire home/apt",190,2,5,"2019-06-30",2.08,1,10,0,1
34999260,"The City View- 2 Bed 2 Bath",221200420,"Adam","Manhattan","Murray Hill",40.7443,-73.97277,"Entire home/apt",300,30,0,"",NA,23,358,0,1
32990481,"Cute & Close to Everything! Plus a Patio!",10888067,"Christina","Manhattan","SoHo",40.72697,-74.00409,"Entire home/apt",150,3,13,"2019-06-24",3.86,1,9,0,1
13763512,"Classic Exposed Brick Apartment in East Village",40008334,"Jennifer","Manhattan","East Village",40.7282,-73.98001,"Private room",75,1,159,"2019-06-23",4.34,1,84,0,1
14703733,"Gorgeous Brooklyn Studio Apartment",56279680,"Abe","Brooklyn","Prospect-Lefferts Gardens",40.66349,-73.94222,"Entire home/apt",80,28,9,"2019-04-28",0.26,1,219,0,0
31809360,"#NycArtBNB Luxury West Village 1 Bedroom",25169596,"Jessica","Manhattan","West Village",40.73304,-74.00059,"Entire home/apt",250,1,21,"2019-06-30",4.34,2,271,0,1
12713863,"Private Bedroom #2",66269338,"Peggy","Queens","Jackson Heights",40.74776,-73.88827,"Private room",50,1,70,"2018-07-26",1.82,4,345,0,0
35000795,"Cozy 2-Bedroom Loft Blocks away to Apollo Theater",102866746,"Neh","Manhattan","Harlem",40.80529,-73.94718,"Entire home/apt",300,2,1,"2019-06-23",1,1,179,0,1
34111540,"Big Bedroom near Columbia University and 1 line",90332306,"Haylee","Manhattan","Upper West Side",40.80383,-73.96724,"Private room",59,3,4,"2019-06-09",2.61,1,5,0,1
16120533,"Room for Either One of Two (Has Two Beds)",56878925,"Joyce","Brooklyn","Canarsie",40.63485,-73.92055,"Shared room",40,2,4,"2017-12-27",0.13,2,3,0,0
21635399,"Spacious 1BR w/ backyard in central Williamsburg",32528909,"Jake","Brooklyn","Williamsburg",40.71935,-73.96049,"Entire home/apt",220,2,14,"2019-06-30",0.76,1,0,0,0
26604019,"Home away from home",40398107,"Joey","Brooklyn","Midwood",40.61615,-73.95997,"Entire home/apt",70,1,1,"2018-07-17",0.08,1,0,0,0
11434339,"Nice, Sunny and by Yankee Stadium",60077790,"Veronica","Manhattan","Harlem",40.82044,-73.93605,"Private room",100,1,0,"",NA,1,0,0,1
14854430,"Apartment in Center of East Village",39942789,"Jackie","Manhattan","East Village",40.73001,-73.98464,"Entire home/apt",195,2,48,"2019-06-05",1.41,1,344,0,1
2570561,"Charming apartment river view",1676600,"Angie","Manhattan","Washington Heights",40.84309,-73.94127,"Private room",90,3,2,"2016-07-16",0.03,1,0,0,1
2383233,"Entire 1400 sq ft Artist Loft - FOUR Private Rooms",10674441,"Annie","Brooklyn","Bedford-Stuyvesant",40.69392,-73.95446,"Entire home/apt",175,27,0,"",NA,2,148,0,0
34390308,"""In the Heights"" King Size Br w/shared baths.",27973267,"Gus","Manhattan","Washington Heights",40.8509,-73.93345,"Private room",75,1,9,"2019-07-02",5.19,5,84,0,1
26774025,"Big Apple Slice of History with Breakfast Included",201315040,"Carmen","Manhattan","East Village",40.72493,-73.97571,"Private room",125,2,26,"2019-06-19",2.23,1,118,0,1
19212489,"Authentic private  room. Just 25 min to Manhattan!",133785513,"Alena","Brooklyn","Bedford-Stuyvesant",40.69485,-73.93794,"Private room",87,1,141,"2019-07-01",5.58,4,73,0,0
36427094,"Beautiful Sunny Space in Crown Heights Brooklyn.",82576590,"Raheem","Brooklyn","Crown Heights",40.67285,-73.95133,"Private room",41,1,0,"",NA,1,66,0,0
32806692,"XL Williamsburg Full Apartment for rent",9089718,"Ramon","Brooklyn","Williamsburg",40.71813,-73.95964,"Entire home/apt",129,5,1,"2019-03-05",0.24,1,14,0,0
